epoch,train_loss,train_acc,test_acc
1,11.48598799498185,8.518,11.96
2,9.302308216729127,19.29,19.1
3,7.586148026654177,29.034,28.34
4,6.374444116411916,36.3,36.98
5,5.57845281030211,42.51,40.21
6,5.000828467366641,46.312,45.41
7,4.593438342404182,49.446,47.29
8,4.268854085746629,52.25,46.57
9,4.054669661290201,54.136,51.39
10,3.874646423417894,55.524,48.4
11,3.7084807867894085,56.758,50.43
12,3.5595598287899475,58.194,50.56
13,3.4418779578050382,59.278,49.7
14,3.3448586890764553,60.294,51.21
15,3.241511540644614,60.804,54.36
16,3.1831329387167226,61.554,51.62
17,3.086203505011166,62.368,55.27
18,3.030849782402253,63.11,55.17
19,2.973802151887313,63.486,55.05
20,2.927190873324109,64.09,56.49
21,2.8917511289991684,64.428,55.62
22,2.8382596097638846,64.66,56.44
23,2.776215486209411,65.198,58.04
24,2.766920198869827,65.63,59.69
25,2.736595562351939,66.01,57.48
26,2.702085725486736,66.346,58.01
27,2.6776720867742356,66.168,58.23
28,2.649581591491504,66.834,58.92
29,2.627757769106599,67.002,55.86
30,2.5735582094973006,67.57,59.23
31,2.582868009272134,67.4,58.23
32,2.5439472780813035,67.952,56.61
33,2.5511869679936363,67.862,54.59
34,2.5184578618125233,68.028,59.05
35,2.4901539559864325,68.214,58.64
36,2.507740319842268,68.286,58.35
37,2.4508623762813677,68.778,58.35
38,2.4640991934729963,68.776,60.48
39,2.4409567145130517,69.15,59.86
40,2.4193114133747033,68.996,58.12
41,2.4327091917662362,69.192,59.73
42,2.3950250191456828,69.538,59.77
43,2.3892705428325915,69.604,60.77
44,2.3791813280271445,69.56,60.12
45,2.3705592917664275,69.678,59.9
46,2.371209094286575,69.722,59.04
47,2.3361544285893747,70.214,57.51
48,2.351349493731623,69.824,55.38
49,2.335905499165625,70.256,55.67
50,2.3259606044310743,70.14,58.09
51,2.30115035061946,70.392,61.85
52,2.3093048245705607,70.666,59.59
53,2.2827319260448444,70.714,59.99
54,2.295782880709909,70.646,61.56
55,2.3016969523466457,70.414,61.3
56,2.2710550273470864,70.802,60.2
57,2.2815239520938806,70.81,59.93
58,2.2870175503099057,70.856,59.68
59,2.252609243478312,71.324,61.32
60,2.2601570451960846,71.1,62.19
61,1.7400898863287533,76.954,67.6
62,1.6094880268701812,78.608,67.99
63,1.56411923868272,78.906,68.06
64,1.5448319869273155,79.328,68.4
65,1.5121754743254092,79.89,68.59
66,1.499668950924788,79.876,68.46
67,1.4826152821635956,80.114,68.59
68,1.4713364077346098,80.384,68.31
69,1.4512493012811216,80.722,68.5
70,1.4403300721322179,80.63,68.49
71,1.438564951462514,80.784,68.72
72,1.4141616120057947,81.168,68.7
73,1.4220718843552766,81.396,68.13
74,1.4113514542274768,81.12,68.72
75,1.4086900783316862,81.24,68.4
76,1.3974310191695953,81.552,68.57
77,1.3955541407055867,81.544,68.82
78,1.3926224996671652,81.416,69.02
79,1.3866710364056365,81.658,68.44
80,1.3727100726283725,81.854,68.79
81,1.3307935345508253,82.504,68.77
82,1.3175282949376899,82.854,68.97
83,1.3163691655449246,82.64,68.77
84,1.3124011613218987,82.76,68.92
85,1.311893303223583,82.704,68.9
86,1.31746836757416,82.814,68.84
87,1.3100395315443463,82.806,69.03
88,1.3066993665207378,82.774,69.07
89,1.3080432969895774,82.846,69.01
90,1.3115954319839283,82.788,69.18
91,1.307921276982788,82.838,69.0
92,1.3055555623815494,82.752,68.95
93,1.3079323719834428,82.794,68.94
94,1.3008889356232665,82.796,68.95
95,1.3009800525272595,83.016,69.05
96,1.3028595511565733,82.944,68.84
97,1.3018423884421053,83.018,68.89
98,1.2938801688916237,83.142,68.79
99,1.3002229096639493,83.038,68.97
100,1.2956013476757138,82.992,69.01
