epoch,train_loss,train_acc,test_acc
1,5.987680530304189,8.214,13.5
2,5.0643398597112395,18.038,19.63
3,4.36805742415016,26.288,29.54
4,3.8063257508875465,33.602,29.7
5,3.3885193700375766,39.38,38.57
6,3.0965332375158128,43.246,42.11
7,2.87335034282616,46.6,43.17
8,2.692829229642668,49.194,43.26
9,2.5593938876295943,51.452,47.24
10,2.4620909501829416,52.804,47.89
11,2.367048294038114,54.442,49.85
12,2.287618650194934,55.774,51.19
13,2.224863776465511,56.742,52.24
14,2.1613515789246622,57.714,53.53
15,2.100432703257217,58.702,51.78
16,2.0503213710492223,59.648,53.14
17,2.0090506412184146,60.128,54.22
18,1.9734345070846246,60.586,54.6
19,1.9431628211379965,61.474,53.85
20,1.9107626661315293,62.006,56.5
21,1.8796899791263864,62.458,54.08
22,1.8593834379444951,62.858,54.99
23,1.8362188299598596,63.192,57.23
24,1.8097754823582253,63.548,56.64
25,1.7747839667912944,64.544,55.97
26,1.760145876718604,64.382,57.48
27,1.7360068053540672,64.968,56.22
28,1.740134094682191,64.744,53.92
29,1.7142432190268242,65.17,55.02
30,1.701577399697755,65.876,53.64
31,1.6947903892268306,65.668,56.61
32,1.6723531137037155,66.152,57.79
33,1.6632870274126683,66.336,58.78
34,1.6472361749395386,66.548,57.83
35,1.6344495222086797,66.784,60.02
36,1.6272586834095324,66.99,56.38
37,1.6104782176444599,67.23,58.64
38,1.6029779432374802,67.434,58.88
39,1.5983696468650836,67.556,57.97
40,1.5909370943103605,67.446,58.59
41,1.5763143206496373,67.948,59.89
42,1.5710295551573223,67.952,57.48
43,1.5685873772482128,67.764,58.19
44,1.5518148966762415,68.556,58.04
45,1.5539658023878131,68.446,57.77
46,1.5384566305238572,68.548,56.88
47,1.5351291961987,68.8,56.46
48,1.5381406853570962,68.592,59.67
49,1.5183693515065382,69.072,59.0
50,1.5187160002301112,68.854,58.74
51,1.513600983583104,69.196,58.83
52,1.511173057129316,69.192,59.48
53,1.5005319347162076,69.364,59.34
54,1.4990653074001108,69.366,55.96
55,1.4949612587004366,69.586,60.64
56,1.4877008528965514,69.446,55.38
57,1.4774109231846413,69.696,58.16
58,1.4840887949594757,69.86,58.98
59,1.4850315765651596,69.65,57.06
60,1.4727857518379035,69.842,60.13
61,1.1424328585719818,76.658,67.38
62,1.060997924688832,78.27,67.64
63,1.0305308486189684,79.014,67.82
64,1.011626220572635,79.618,67.84
65,0.9939454542401501,79.868,67.91
66,0.9826659348309802,80.184,68.2
67,0.9731966842470876,80.476,68.01
68,0.9618842700863128,80.734,68.04
69,0.956761992800876,80.754,68.24
70,0.9462083565914418,81.028,68.33
71,0.9438770494192762,80.984,68.23
72,0.9317049483204132,81.258,68.18
73,0.9253213333961604,81.512,68.44
74,0.9210770249061877,81.68,68.36
75,0.9124455401659621,81.912,68.2
76,0.9132173896750526,81.792,68.39
77,0.9110036035023077,82.02,68.18
78,0.905056947332514,82.066,68.51
79,0.8966900569093806,82.288,68.56
80,0.8988807122115894,82.312,68.24
81,0.8605262577686164,83.308,68.51
82,0.853094857519545,83.604,68.63
83,0.8545243602884395,83.482,68.49
84,0.8531878226248505,83.426,68.63
85,0.8508410295257178,83.618,68.79
86,0.8488855563161318,83.498,68.64
87,0.8450513497337966,83.756,68.87
88,0.8461962554156018,83.694,68.75
89,0.841524227653318,83.862,68.74
90,0.8446492377449485,83.736,68.85
91,0.843321997186412,83.766,68.84
92,0.8402700535476665,83.776,68.63
93,0.8396758790821066,83.888,68.72
94,0.8411014159317212,83.772,68.71
95,0.8416310592990397,83.64,68.78
96,0.839583370386792,83.786,68.83
97,0.8400237866679726,83.854,68.63
98,0.8415671852238648,83.606,68.79
99,0.8354643247926327,83.978,68.65
100,0.8402087927779274,83.614,68.76
