epoch,train_loss,train_acc,test_acc
1,5.042601107331493,17.206,13.64
2,3.865151113866235,31.588,27.6
3,3.319732864799402,39.536,31.27
4,2.9881389214254708,44.752,39.02
5,2.766279143140749,48.146,41.64
6,2.5973847924595903,50.552,44.43
7,2.4548662233230707,52.722,46.5
8,2.35307697688832,54.24,48.15
9,2.265405519539133,55.752,49.3
10,2.1961897584178565,57.24,48.42
11,2.116279098688794,58.398,49.02
12,2.074575427243167,59.048,53.75
13,2.010797756407267,60.062,50.6
14,1.983863415620516,60.404,51.8
15,1.9422805925159503,61.172,51.64
16,1.9022834691245232,62.114,56.07
17,1.884193087172935,62.344,53.47
18,1.846999716270915,63.262,54.55
19,1.813254498764682,63.7,56.14
20,1.7827345876742506,64.056,53.02
21,1.766093220247332,64.188,54.72
22,1.7463599309287108,64.536,55.47
23,1.7298856388272532,64.952,57.12
24,1.712070717531092,65.288,55.52
25,1.6892388525521358,65.526,58.18
26,1.684122573994005,66.104,57.74
27,1.6629640912765737,66.48,57.72
28,1.6497229535866271,66.704,54.88
29,1.6395453306110315,66.594,56.09
30,1.6241468788717714,66.898,57.44
31,1.61538028320693,67.124,58.31
32,1.595884123421691,67.336,54.51
33,1.5848541497574438,67.768,60.66
34,1.5777944460549318,67.91,58.07
35,1.580892028711031,67.628,56.95
36,1.5649807254981507,68.462,57.62
37,1.560526171608654,68.052,58.93
38,1.542933937228854,68.546,56.38
39,1.5369601649091678,68.57,56.7
40,1.532891938448562,68.722,57.73
41,1.5100114930926076,69.206,57.6
42,1.525540013447442,68.784,59.31
43,1.5217780387005233,68.944,58.16
44,1.5174145546105817,68.788,59.07
45,1.5101579071005897,69.118,58.68
46,1.5000559905605853,69.318,57.91
47,1.490121071600853,69.584,57.6
48,1.4939631305997023,69.482,58.47
49,1.4894709489534579,69.426,58.4
50,1.4752208601178416,69.722,53.03
51,1.4709886388705515,69.992,57.34
52,1.463385393552463,69.82,60.41
53,1.4637564359723454,70.0,53.53
54,1.463812821356537,70.12,57.58
55,1.4494867035190162,70.282,59.34
56,1.4426283052815196,70.646,56.64
57,1.445948548329151,70.526,57.89
58,1.4462592937147525,70.586,58.13
59,1.4440438966921834,70.342,59.85
60,1.4372634582812218,70.644,57.46
61,1.4321476382672633,70.656,60.24
62,1.4330267086053443,70.586,57.14
63,1.4280703299490691,70.85,60.25
64,1.4228013247785056,70.926,58.89
65,1.4182896531756273,70.852,57.78
66,1.4171641525405143,71.1,59.22
67,1.410538109976922,71.004,58.47
68,1.4264937040141172,70.846,58.83
69,1.40242160189792,71.346,60.58
70,1.4058106085833382,71.304,59.49
71,1.4044107957874112,71.238,58.53
72,1.40130017389117,71.126,59.76
73,1.4023202035738074,71.298,58.37
74,1.4060947981941732,71.178,59.8
75,1.3878142608096227,71.496,56.94
76,1.4103004040620517,71.128,57.69
77,1.3926679508765336,71.618,58.95
78,1.3940855920162347,71.51,59.27
79,1.3942675816128627,71.67,59.39
80,1.3902184966275148,71.344,56.48
81,1.3858820282284865,71.674,57.95
82,1.3880123900025703,71.502,60.2
83,1.3845117400064493,71.666,59.42
84,1.3737181324483183,71.766,58.66
85,1.3771335020699464,71.62,58.6
86,1.3741517365740998,71.94,60.2
87,1.3774101593915153,71.834,58.59
88,1.3657714896799658,72.134,55.46
89,1.3732497085390798,71.93,59.62
90,1.3680129112185115,72.05,58.01
91,1.3758938849124762,71.866,59.24
92,1.3595208670477124,72.266,59.81
93,1.3584567774897036,72.25,60.15
94,1.3612715423564472,72.064,58.88
95,1.360724712119383,72.048,59.17
96,1.3541177331334184,72.354,60.08
97,1.3578737413181978,72.248,60.58
98,1.3568005226457212,72.304,59.19
99,1.363153768622357,72.06,60.17
100,1.34590932033251,72.434,60.66
101,1.0237654775304867,79.298,68.46
102,0.9325492708274471,81.398,69.3
103,0.9034721032737771,82.01,69.14
104,0.8854793453460459,82.532,69.05
105,0.8698132442086554,82.888,69.24
106,0.8559550673455534,83.296,69.32
107,0.8485878143469086,83.264,69.07
108,0.8412920602447237,83.486,69.36
109,0.8353764222710943,83.606,69.53
110,0.8244766666151374,84.08,69.65
111,0.8198052795646745,84.072,69.45
112,0.8157615843026534,84.114,69.04
113,0.806289276503541,84.352,69.27
114,0.8006566247671766,84.894,69.54
115,0.7962313684661065,84.956,69.51
116,0.796858832964202,84.648,69.06
117,0.7888678463218767,84.924,69.12
118,0.7913072109222412,85.078,69.28
119,0.7800392269173546,85.37,69.32
120,0.7740906498316303,85.52,69.24
121,0.775799622925956,85.352,69.46
122,0.7790624938352638,85.198,69.25
123,0.7733026046277313,85.55,69.64
124,0.7675600152491303,85.646,69.31
125,0.7671980700834328,85.846,69.13
126,0.7636446131159887,85.69,69.39
127,0.755938217767974,86.08,69.24
128,0.763579418897019,85.832,69.23
129,0.75418187849357,86.124,69.31
130,0.7543997057258626,85.876,69.11
131,0.7469307554652319,86.23,69.02
132,0.7448327914833108,86.408,69.15
133,0.7449357628517443,86.27,69.06
134,0.7376884356179201,86.478,69.32
135,0.7407603809595718,86.498,69.25
136,0.7390155284605977,86.498,69.66
137,0.7380741086152508,86.438,69.24
138,0.734057789263518,86.62,69.14
139,0.7312786361140668,86.728,68.86
140,0.7337455583350433,86.648,68.92
141,0.7298861524028242,86.742,69.34
142,0.7332006561786623,86.77,68.93
143,0.7290496399335544,86.88,68.69
144,0.7268748629428542,86.872,69.12
145,0.7256991358669213,86.756,69.18
146,0.7215912345120364,87.128,69.05
147,0.723684902843612,87.012,68.78
148,0.7180968716626277,87.15,69.19
149,0.7175827264176,87.186,69.19
150,0.7173846473779215,87.082,68.96
151,0.6771957476425658,88.44,69.49
152,0.6676891510139036,88.602,69.46
153,0.6626600822829225,88.924,69.51
154,0.6638912653069362,88.746,69.61
155,0.6622216439308108,88.732,69.71
156,0.6638659901936036,88.814,69.66
157,0.6570391475087236,89.048,69.53
158,0.6544995993909324,89.126,69.77
159,0.6597902548435094,88.944,69.84
160,0.6560984937583699,89.1,69.6
161,0.659500924370173,89.032,69.69
162,0.6544258027430385,89.138,69.8
163,0.6561846237658234,88.988,69.74
164,0.6574610701912199,89.038,69.74
165,0.6556955931894005,89.128,69.82
166,0.6578399753936416,89.074,69.88
167,0.6522987902621784,89.234,69.76
168,0.655443282459703,89.042,69.88
169,0.6532743146352451,89.304,69.86
170,0.6523026757685425,89.144,69.73
171,0.6515767185584359,89.066,69.82
172,0.6542543193415913,89.048,69.65
173,0.6515986968184371,89.044,69.61
174,0.6508389830284411,89.168,69.84
175,0.6493828313429947,89.204,69.77
176,0.6509952046682158,89.426,69.64
177,0.6489205044858596,89.27,69.74
178,0.6476352276552059,89.228,69.89
179,0.6442185770672606,89.416,69.88
180,0.6511188202806751,89.284,69.78
181,0.6499109925211543,89.152,69.86
182,0.6484289128152306,89.268,69.51
183,0.6487659103120379,89.21,69.52
184,0.6497000942907065,89.122,69.62
185,0.6475686767826909,89.432,69.81
186,0.6496378480625884,89.2,69.64
187,0.6450173021734827,89.452,69.76
188,0.6477680493651143,89.224,69.57
189,0.6464290597554668,89.32,69.89
190,0.6458092699270419,89.408,69.63
191,0.6456927504685833,89.224,69.57
192,0.648963270132499,89.17,69.78
193,0.64529904090535,89.23,69.63
194,0.6437353715110008,89.328,69.97
195,0.6426676494995957,89.456,69.51
196,0.6466417646469058,89.304,69.67
197,0.645924126095784,89.508,69.9
198,0.64736636154487,89.168,69.74
199,0.6415968487024917,89.48,69.61
200,0.6407316997837837,89.512,69.68
