epoch,train_loss,train_acc,test_acc
1,5.96057443301696,8.064,12.33
2,5.03435275499778,18.12,19.26
3,4.304934418719748,26.756,24.49
4,3.760494026076763,34.12,34.76
5,3.3797402156283485,39.188,39.01
6,3.089587587834624,43.302,41.76
7,2.8761235259073166,46.344,40.71
8,2.7063209162953563,49.102,46.21
9,2.5643298778387593,51.254,44.51
10,2.4579269764063607,52.6,48.64
11,2.364534640860984,54.434,47.83
12,2.297894313207368,55.442,50.26
13,2.215897445178703,56.722,48.3
14,2.163905788870419,57.664,50.99
15,2.0983098669125297,58.62,54.43
16,2.046700939193101,59.594,53.96
17,2.0023843114028503,60.162,52.93
18,1.9698604235563741,60.686,52.8
19,1.93295702665968,61.554,56.13
20,1.9064089879965234,61.958,55.44
21,1.8752546667138024,62.45,56.44
22,1.8557430085013895,62.842,53.53
23,1.8245654142726109,63.376,55.17
24,1.8109779342666001,63.542,56.19
25,1.79332889772742,64.042,53.53
26,1.760358557066954,64.54,56.68
27,1.747222992160436,64.658,55.43
28,1.7390809153656825,64.856,55.42
29,1.7087985612547305,65.292,53.97
30,1.6930341690092745,65.828,55.81
31,1.6845350027694117,65.856,57.23
32,1.6658685204318113,66.36,57.63
33,1.6595024638773535,66.18,59.0
34,1.6494829429080113,66.546,56.45
35,1.6350483400437532,66.932,57.3
36,1.6262085142038059,66.936,55.0
37,1.6225259685150497,67.216,57.8
38,1.6156428259656863,67.3,56.46
39,1.5987248911577112,67.516,57.5
40,1.5849061308004666,67.684,57.95
41,1.5808935887978206,67.568,56.87
42,1.5828564429222165,67.82,59.14
43,1.5750400440772172,67.75,58.53
44,1.5647121942256723,67.908,58.63
45,1.5494512468957535,68.394,56.13
46,1.544127726189011,68.596,58.06
47,1.5497304926747861,68.176,57.86
48,1.5291060663550102,68.794,58.25
49,1.53076248553098,68.536,57.61
50,1.5253580644002656,68.824,58.73
51,1.5143200652983488,69.226,58.9
52,1.5137546455768673,69.138,60.88
53,1.51691297100633,68.994,56.77
54,1.502613288667196,69.146,57.25
55,1.4914031306191173,69.696,58.57
56,1.488623055045867,69.548,59.14
57,1.4861576331545934,69.804,59.67
58,1.4789744182620816,69.666,60.67
59,1.479728738670154,69.926,59.97
60,1.4704300082857957,69.92,58.24
61,1.4836865678772597,69.634,57.52
62,1.4661211641243352,69.892,58.76
63,1.4536284061953844,70.2,58.23
64,1.4638780779240992,70.118,59.75
65,1.4578926715704486,70.136,56.72
66,1.4659724558710747,70.086,58.51
67,1.4458719293784608,70.274,60.77
68,1.4440412405506728,70.544,60.67
69,1.4467019790883564,70.574,59.24
70,1.4417482233413346,70.528,60.58
71,1.443770744001774,70.39,59.82
72,1.4410365710173116,70.552,59.67
73,1.4373354545944488,70.712,60.03
74,1.4380326783260726,70.662,59.66
75,1.425167202949524,70.846,57.18
76,1.4340051979664952,70.648,59.55
77,1.430813838758737,70.506,57.78
78,1.4122959960757009,71.176,58.61
79,1.424615760898346,70.96,59.55
80,1.415089459065586,70.996,58.57
81,1.427914600847932,70.722,60.31
82,1.4125279932070876,70.914,59.33
83,1.4125063388853731,70.888,59.94
84,1.416455949358928,70.878,61.3
85,1.406167487963996,71.364,59.93
86,1.3975337451071386,71.228,61.39
87,1.4061798171314133,71.042,58.61
88,1.407441747767846,71.406,59.26
89,1.4064375503593698,71.094,59.99
90,1.4005737268101528,71.254,61.52
91,1.3866907795676795,71.678,60.3
92,1.3910423684912874,71.444,60.16
93,1.4045345722257023,71.06,56.04
94,1.3851546854009409,71.694,59.65
95,1.3854624603105627,71.624,59.05
96,1.38709275283472,71.576,60.62
97,1.3818685676130797,71.786,57.34
98,1.3791495788737635,71.642,60.47
99,1.376642623825756,71.708,61.14
100,1.3806318660526324,71.688,59.52
101,1.0524623525112182,78.712,68.03
102,0.9660063425598242,80.482,68.21
103,0.9357918499375854,81.362,68.48
104,0.916406513937294,81.658,68.71
105,0.9016766720415686,82.138,68.89
106,0.8890436265779578,82.398,68.97
107,0.8799727836533275,82.786,68.87
108,0.8666556107113733,83.018,68.79
109,0.8638719094683752,83.172,69.05
110,0.8537332787538123,83.368,68.83
111,0.8496136784248645,83.404,69.2
112,0.8372748616101492,83.838,69.06
113,0.8355217092787214,83.936,69.13
114,0.8333886931924259,83.898,69.08
115,0.8261078809533278,84.09,68.97
116,0.8223768222667373,84.182,68.98
117,0.8168893550972804,84.442,68.92
118,0.8130437591496635,84.418,69.36
119,0.8155307951180831,84.47,68.76
120,0.808669042556792,84.64,68.99
121,0.8024809395565706,84.818,68.79
122,0.7975688354133645,84.914,68.88
123,0.7966646570378862,84.874,68.81
124,0.7947964765836516,84.96,69.16
125,0.7948030245578502,84.86,68.87
126,0.787833701923985,85.226,68.73
127,0.7882211879086312,85.23,68.89
128,0.7867371860672446,85.234,68.86
129,0.781651707408983,85.232,68.94
130,0.7806459052483444,85.356,68.99
131,0.7756072237058673,85.65,68.75
