epoch,train_loss,train_acc,test_acc
1,4.615561185285563,1.592,2.96
2,4.207139501181405,4.574,7.02
3,3.8368804643830985,9.096,11.14
4,3.5424039979724933,14.526,18.23
5,3.285119330486678,19.25,19.38
6,3.031925154464019,24.064,23.92
7,2.791690667876807,28.4,28.01
8,2.594250899751473,32.774,29.9
9,2.4235303975127236,36.274,29.87
10,2.277660736342525,39.564,37.53
11,2.1581646835102752,42.12,41.54
12,2.0481473564186974,44.522,38.82
13,1.94696662675999,46.794,43.64
14,1.863655536071114,48.668,44.2
15,1.7770312417803518,50.788,42.05
16,1.7296969594857883,51.894,47.38
17,1.6670613249244592,53.318,45.51
18,1.6228794545468772,54.548,50.84
19,1.5650880473958866,55.748,48.25
20,1.5181846822924017,57.238,50.06
21,1.4680552906392481,58.378,47.25
22,1.4385746366837446,58.85,49.94
23,1.4036055082250434,60.026,52.16
24,1.366526406439369,60.642,53.45
25,1.3360808255422452,61.334,53.26
26,1.3084599259869216,62.004,52.2
27,1.2844919804721842,62.73,53.73
28,1.2619521645328882,63.322,52.98
29,1.2397136697378914,63.892,52.76
30,1.2210557694020479,64.214,53.47
31,1.1913292196095753,65.08,56.55
32,1.1774401939128671,65.552,57.24
33,1.157844459766622,65.838,55.72
34,1.1432177980842493,66.346,56.05
35,1.1172776238997575,67.258,58.03
36,1.1039085792153693,67.404,52.59
37,1.1018100611084258,67.404,55.98
38,1.0726446893513966,68.244,56.76
39,1.0607238523185711,68.876,58.7
40,1.046780474807905,68.928,58.26
41,1.0332984776448106,69.12,55.88
42,1.0122918007928696,69.48,55.83
43,1.0070442622884765,69.986,58.69
44,1.0134232871977569,69.754,53.71
45,0.9873989739686327,70.342,58.64
46,0.9746764119323867,70.796,58.08
47,0.9667862089698577,71.068,54.97
48,0.9580214311704611,71.086,55.34
49,0.9516775720869489,71.216,56.13
50,0.9389537795425376,71.928,58.51
51,0.9316337637584228,71.768,58.3
52,0.9209895079093211,72.172,57.21
53,0.9041175970336055,72.626,59.73
54,0.8986706189487291,72.968,54.66
55,0.892555296421051,72.976,57.88
56,0.8878646721620389,73.036,59.15
57,0.86706380054469,73.698,59.42
58,0.8659282171207926,73.62,54.17
59,0.863653042889617,73.8,58.71
60,0.854201830409067,73.982,60.05
61,0.8466531641952827,74.236,59.77
62,0.8346396452935455,74.61,59.87
63,0.8303362170753577,74.8,58.45
64,0.8268819647981688,74.814,59.16
65,0.8221988005711295,74.774,57.18
66,0.8075958878335441,75.29,57.24
67,0.8129765900504559,74.932,58.08
68,0.7972722260848336,75.536,59.46
69,0.7860083605932153,76.066,56.66
70,0.7938272966753186,75.728,58.69
71,0.7879576315660306,75.854,56.02
72,0.7910738829761514,75.772,59.42
73,0.773351963066384,76.192,60.24
74,0.7747777858201195,76.236,56.95
75,0.7583878913041576,76.748,60.14
76,0.7651061107740378,76.518,61.11
77,0.7546077563482172,76.866,59.43
78,0.7532910884493758,76.506,61.27
79,0.749545858872821,77.002,57.47
80,0.7474997460537249,77.044,57.97
81,0.7385615429000172,77.078,57.62
82,0.7387184900853335,77.152,61.78
83,0.7351383704815984,77.34,58.43
84,0.7313346419188068,77.386,60.29
85,0.73502567799195,77.15,56.83
86,0.7212782450344252,77.704,60.28
87,0.7255552209094357,77.378,60.53
88,0.7137455498928305,77.858,60.17
89,0.7076628183769753,78.246,59.24
90,0.7080669275025273,77.9,61.44
91,0.6995284724266023,78.266,61.79
92,0.7056727137254633,78.208,60.13
93,0.7002424984179494,78.352,58.92
94,0.6894899040384366,78.462,59.17
95,0.6935965880713499,78.444,59.65
96,0.6961423041265639,78.362,59.24
97,0.6903135648468877,78.392,60.17
98,0.6860527025006921,78.664,61.16
99,0.6734313957983881,79.124,59.29
100,0.6794352487225057,78.778,58.79
101,0.3960793118571381,88.21,69.46
102,0.29414772583395626,91.212,69.92
103,0.2595733915982039,92.344,70.18
104,0.23602761987530058,93.086,70.45
105,0.2185026262041248,93.642,70.06
106,0.20098879178771584,94.232,70.47
107,0.18745082576790123,94.53,70.35
108,0.17704875858695915,94.87,70.35
109,0.16775779233640417,95.198,70.29
110,0.1605396451585738,95.406,70.38
111,0.14863563771061886,95.78,70.32
112,0.14130048974014608,96.118,70.47
113,0.1349581678009704,96.24,70.5
114,0.1282705314209699,96.436,70.47
115,0.12484212315943845,96.568,70.53
116,0.1191160548144899,96.758,70.36
117,0.11325598285173821,96.958,70.44
118,0.10622476042269746,97.154,70.18
119,0.10348318121812837,97.262,70.33
120,0.10061581461402157,97.402,69.92
121,0.09496137752290577,97.512,70.27
122,0.08879148296040038,97.77,70.21
123,0.08859794114328101,97.734,69.93
124,0.08641333441676387,97.87,69.95
125,0.07924357297665932,98.088,69.98
126,0.08004196697984205,97.936,70.18
127,0.07614643405408353,98.106,69.86
128,0.07339666578013573,98.2,70.27
129,0.0713795009771805,98.258,70.27
130,0.06962463311145982,98.31,70.23
131,0.0669002960366971,98.406,70.35
132,0.06416025682997978,98.532,70.03
133,0.0634410297617202,98.438,70.07
134,0.06141919928038364,98.632,69.79
135,0.059099066654777585,98.638,70.18
136,0.0579267327466508,98.684,70.32
137,0.05384256400148887,98.862,69.82
138,0.054642402836124,98.774,69.87
139,0.052586057873638084,98.858,69.8
140,0.0507073022158402,98.924,70.11
141,0.050886139983449444,98.9,69.71
142,0.050330970555429566,98.934,69.79
143,0.04791575549718212,99.0,69.91
144,0.045798438536884534,99.068,70.25
145,0.0474667869093816,98.964,69.9
146,0.04742666089530948,98.988,69.86
147,0.04363296865997717,99.126,69.97
148,0.04341905400671465,99.124,69.84
149,0.043330525102860784,99.112,69.97
150,0.04133494031112975,99.18,70.06
151,0.037704708266650774,99.332,70.11
152,0.03454058179083992,99.404,70.13
153,0.03363019340883588,99.438,70.27
154,0.03179033178969494,99.486,70.12
155,0.03178068435014895,99.506,70.33
156,0.031339817323133616,99.51,70.3
157,0.030324054581811057,99.532,70.15
158,0.030286683105503965,99.572,70.09
159,0.030569779224541335,99.528,70.08
160,0.029947804732491142,99.572,70.11
161,0.02907291146428765,99.6,70.23
162,0.02978160804199517,99.558,70.35
163,0.029122240384064062,99.554,70.45
164,0.02854222402481548,99.568,70.38
165,0.027826235493849914,99.61,70.23
166,0.0289997205952816,99.59,70.13
167,0.028925303467418378,99.554,70.24
168,0.028041068238237172,99.616,70.16
169,0.02891727619330444,99.56,70.21
170,0.027988225526517006,99.61,70.13
171,0.02781036027881038,99.612,70.27
172,0.027064338052535757,99.6,70.32
173,0.027111734882892702,99.622,70.14
174,0.02679922853303535,99.644,70.44
175,0.027838055075377302,99.594,70.15
176,0.02785362072689149,99.592,70.22
177,0.026870525644525238,99.634,70.33
178,0.02751273338151786,99.606,70.29
179,0.025821114432952746,99.682,70.31
180,0.02616974189544044,99.63,70.4
181,0.02642314973861322,99.65,70.18
182,0.025704840612609674,99.67,70.22
183,0.025989890443947155,99.652,70.23
184,0.0263580693279767,99.602,70.29
185,0.02528779862967827,99.668,70.42
186,0.025914168456936126,99.662,70.31
187,0.02592491783568507,99.654,70.39
188,0.026870666568398552,99.63,70.23
189,0.02552689630490587,99.658,70.2
190,0.025459033165536726,99.672,70.37
191,0.025252165318088,99.696,70.25
192,0.025309181782891,99.66,70.22
193,0.025682113831267332,99.674,69.94
194,0.025644479190830686,99.648,70.2
195,0.02485995376220597,99.668,70.18
196,0.02478383710403043,99.714,70.16
197,0.024872712754046598,99.714,70.37
198,0.025747783922726083,99.658,70.4
199,0.02468397561937113,99.686,70.23
200,0.02436329731169869,99.706,70.35
